Statistic,Value
Day,0
Animal count,20
Plant count,13
Empty Field count,262
Avg Energy,15.0
Avg Lifespan,-1.0
Avg Children count,0.0
Dominant Genotype,No Dominant Genotype

Day,1
Animal count,20
Plant count,18
Empty Field count,251
Avg Energy,14.0
Avg Lifespan,-1.0
Avg Children count,0.0
Dominant Genotype,No Dominant Genotype

Day,2
Animal count,20
Plant count,23
Empty Field count,239
Avg Energy,13.0
Avg Lifespan,-1.0
Avg Children count,0.0
Dominant Genotype,No Dominant Genotype

Day,3
Animal count,20
Plant count,25
Empty Field count,228
Avg Energy,14.4
Avg Lifespan,-1.0
Avg Children count,0.0
Dominant Genotype,No Dominant Genotype

Day,4
Animal count,20
Plant count,29
Empty Field count,212
Avg Energy,14.2
Avg Lifespan,-1.0
Avg Children count,0.0
Dominant Genotype,No Dominant Genotype

Day,5
Animal count,20
Plant count,34
Empty Field count,194
Avg Energy,13.2
Avg Lifespan,-1.0
Avg Children count,0.0
Dominant Genotype,No Dominant Genotype

Day,6
Animal count,20
Plant count,36
Empty Field count,176
Avg Energy,13.0
Avg Lifespan,-1.0
Avg Children count,0.0
Dominant Genotype,No Dominant Genotype

Day,7
Animal count,20
Plant count,39
Empty Field count,188
Avg Energy,13.6
Avg Lifespan,-1.0
Avg Children count,0.0
Dominant Genotype,No Dominant Genotype

Day,8
Animal count,20
Plant count,43
Empty Field count,196
Avg Energy,13.4
Avg Lifespan,-1.0
Avg Children count,0.0
Dominant Genotype,No Dominant Genotype

Day,9
Animal count,20
Plant count,45
Empty Field count,206
Avg Energy,14.8
Avg Lifespan,-1.0
Avg Children count,0.0
Dominant Genotype,No Dominant Genotype

Day,10
Animal count,20
Plant count,47
Empty Field count,213
Avg Energy,16.2
Avg Lifespan,-1.0
Avg Children count,0.0
Dominant Genotype,No Dominant Genotype

Day,11
Animal count,20
Plant count,52
Empty Field count,222
Avg Energy,18.2
Avg Lifespan,-1.0
Avg Children count,0.0
Dominant Genotype,No Dominant Genotype

Day,13
Animal count,20
Plant count,54
Empty Field count,224
Avg Energy,23.6
Avg Lifespan,-1.0
Avg Children count,0.0
Dominant Genotype,No Dominant Genotype

