Statistic,Value
Day,0
Animal count,20
Plant count,12
Empty Field count,263
Avg Energy,15.8
Avg Lifespan,-1.0
Avg Children count,0.0
Dominant Genotype,No Dominant Genotype

Day,1
Animal count,20
Plant count,17
Empty Field count,253
Avg Energy,14.8
Avg Lifespan,-1.0
Avg Children count,0.0
Dominant Genotype,No Dominant Genotype

Day,2
Animal count,20
Plant count,20
Empty Field count,242
Avg Energy,15.4
Avg Lifespan,-1.0
Avg Children count,0.0
Dominant Genotype,No Dominant Genotype

Day,3
Animal count,20
Plant count,24
Empty Field count,228
Avg Energy,15.2
Avg Lifespan,-1.0
Avg Children count,0.0
Dominant Genotype,No Dominant Genotype

Day,4
Animal count,20
Plant count,29
Empty Field count,215
Avg Energy,14.2
Avg Lifespan,-1.0
Avg Children count,0.0
Dominant Genotype,No Dominant Genotype

Day,5
Animal count,20
Plant count,31
Empty Field count,200
Avg Energy,14.0
Avg Lifespan,-1.0
Avg Children count,0.0
Dominant Genotype,No Dominant Genotype

Day,6
Animal count,20
Plant count,35
Empty Field count,179
Avg Energy,13.0
Avg Lifespan,-1.0
Avg Children count,0.0
Dominant Genotype,No Dominant Genotype

Day,7
Animal count,20
Plant count,39
Empty Field count,190
Avg Energy,12.8
Avg Lifespan,-1.0
Avg Children count,0.0
Dominant Genotype,No Dominant Genotype

Day,8
Animal count,20
Plant count,41
Empty Field count,201
Avg Energy,14.2
Avg Lifespan,-1.0
Avg Children count,0.0
Dominant Genotype,No Dominant Genotype

Day,9
Animal count,20
Plant count,45
Empty Field count,206
Avg Energy,14.0
Avg Lifespan,-1.0
Avg Children count,0.0
Dominant Genotype,No Dominant Genotype

Day,10
Animal count,20
Plant count,47
Empty Field count,214
Avg Energy,15.4
Avg Lifespan,-1.0
Avg Children count,0.0
Dominant Genotype,No Dominant Genotype

Day,11
Animal count,20
Plant count,51
Empty Field count,217
Avg Energy,15.2
Avg Lifespan,-1.0
Avg Children count,0.0
Dominant Genotype,No Dominant Genotype

Day,12
Animal count,20
Plant count,53
Empty Field count,221
Avg Energy,16.6
Avg Lifespan,-1.0
Avg Children count,0.0
Dominant Genotype,No Dominant Genotype

Day,13
Animal count,20
Plant count,56
Empty Field count,222
Avg Energy,17.2
Avg Lifespan,-1.0
Avg Children count,0.0
Dominant Genotype,No Dominant Genotype

Day,14
Animal count,20
Plant count,56
Empty Field count,218
Avg Energy,20.2
Avg Lifespan,-1.0
Avg Children count,0.0
Dominant Genotype,No Dominant Genotype

Day,15
Animal count,9
Plant count,61
Empty Field count,218
Avg Energy,42.666666666666664
Avg Lifespan,15.0
Avg Children count,0.0
Dominant Genotype,No Dominant Genotype

Day,16
Animal count,9
Plant count,63
Empty Field count,208
Avg Energy,47.0
Avg Lifespan,15.0
Avg Children count,0.0
Dominant Genotype,No Dominant Genotype

Day,17
Animal count,9
Plant count,65
Empty Field count,196
Avg Energy,51.333333333333336
Avg Lifespan,15.0
Avg Children count,0.0
Dominant Genotype,No Dominant Genotype

Day,18
Animal count,9
Plant count,67
Empty Field count,182
Avg Energy,55.666666666666664
Avg Lifespan,15.0
Avg Children count,0.0
Dominant Genotype,No Dominant Genotype

Day,19
Animal count,9
Plant count,66
Empty Field count,169
Avg Energy,61.77777777777778
Avg Lifespan,15.0
Avg Children count,0.0
Dominant Genotype,No Dominant Genotype

Day,20
Animal count,9
Plant count,62
Empty Field count,157
Avg Energy,66.11111111111111
Avg Lifespan,15.0
Avg Children count,0.0
Dominant Genotype,No Dominant Genotype

Day,21
Animal count,9
Plant count,65
Empty Field count,170
Avg Energy,68.66666666666667
Avg Lifespan,15.0
Avg Children count,0.0
Dominant Genotype,No Dominant Genotype

Day,22
Animal count,9
Plant count,68
Empty Field count,181
Avg Energy,71.22222222222223
Avg Lifespan,15.0
Avg Children count,0.0
Dominant Genotype,No Dominant Genotype

Day,23
Animal count,9
Plant count,71
Empty Field count,190
Avg Energy,73.77777777777777
Avg Lifespan,15.0
Avg Children count,0.0
Dominant Genotype,No Dominant Genotype

Day,24
Animal count,9
Plant count,73
Empty Field count,198
Avg Energy,78.11111111111111
Avg Lifespan,15.0
Avg Children count,0.0
Dominant Genotype,No Dominant Genotype

Day,25
Animal count,9
Plant count,77
Empty Field count,202
Avg Energy,78.88888888888889
Avg Lifespan,15.0
Avg Children count,0.0
Dominant Genotype,No Dominant Genotype

Day,26
Animal count,9
Plant count,82
Empty Field count,203
Avg Energy,77.88888888888889
Avg Lifespan,15.0
Avg Children count,0.0
Dominant Genotype,No Dominant Genotype

Day,27
Animal count,9
Plant count,86
Empty Field count,203
Avg Energy,78.66666666666667
Avg Lifespan,15.0
Avg Children count,0.0
Dominant Genotype,No Dominant Genotype

Day,28
Animal count,9
Plant count,91
Empty Field count,194
Avg Energy,77.66666666666667
Avg Lifespan,15.0
Avg Children count,0.0
Dominant Genotype,No Dominant Genotype

Day,29
Animal count,9
Plant count,93
Empty Field count,186
Avg Energy,80.22222222222223
Avg Lifespan,15.0
Avg Children count,0.0
Dominant Genotype,No Dominant Genotype

